Country,Region,Happiness Score,Log GDP per Capita,Social Support,Life Expectancy,Freedom,Perceptions of Corruption,Generosity,year
Switzerland,Western Europe,7.5870000000000015,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678000000000004,2015
Iceland,Western Europe,7.561,1.30232,1.40223,0.94784,0.6287699999999999,0.14145,0.4363,2015
Denmark,Western Europe,7.527,1.32548,1.36058,0.87464,0.6493800000000001,0.48357,0.34139,2015
Norway,Western Europe,7.522,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2015
Canada,North America,7.427,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,2015
Finland,Western Europe,7.4060000000000015,1.29025,1.31826,0.8891100000000001,0.64169,0.41372,0.23351,2015
Netherlands,Western Europe,7.377999999999999,1.32944,1.28017,0.89284,0.6157600000000001,0.31814000000000003,0.4761,2015
Sweden,Western Europe,7.364,1.33171,1.2890700000000002,0.91087,0.6598,0.43844,0.36262,2015
New Zealand,Australia and New Zealand,7.286,1.2501799999999998,1.31967,0.90837,0.6393800000000001,0.42922,0.47501,2015
Australia,Australia and New Zealand,7.284,1.33358,1.30923,0.93156,0.6512399999999999,0.35637,0.43562,2015
Israel,Middle East and Northern Africa,7.278,1.2285700000000002,1.22393,0.91387,0.41319,0.07785,0.33172,2015
Costa Rica,Latin America and Caribbean,7.226,0.95578,1.23788,0.8602700000000001,0.63376,0.10583,0.25497,2015
Austria,Western Europe,7.2,1.33723,1.29704,0.8904200000000001,0.62433,0.18676,0.33088,2015
Mexico,Latin America and Caribbean,7.187,1.02054,0.91451,0.8144399999999999,0.48181,0.21312,0.14074,2015
United States,North America,7.119,1.39451,1.24711,0.86179,0.54604,0.1589,0.40105,2015
Brazil,Latin America and Caribbean,6.983,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,2015
Luxembourg,Western Europe,6.9460000000000015,1.56391,1.21963,0.91894,0.61583,0.37798,0.28034000000000003,2015
Ireland,Western Europe,6.94,1.33596,1.36948,0.89533,0.6177699999999999,0.28703,0.45901,2015
Belgium,Western Europe,6.937,1.30782,1.28566,0.8966700000000001,0.5845,0.2254,0.2225,2015
United Arab Emirates,Middle East and Northern Africa,6.901,1.42727,1.12575,0.80925,0.64157,0.38583,0.26428,2015
United Kingdom,Western Europe,6.867000000000001,1.26637,1.28548,0.90943,0.59625,0.32067,0.51912,2015
Oman,Middle East and Northern Africa,6.853,1.36011,1.08182,0.76276,0.63274,0.32524000000000003,0.21542,2015
Venezuela,Latin America and Caribbean,6.81,1.04424,1.25596,0.7205199999999999,0.42908,0.11069,0.05841,2015
Singapore,Southeastern Asia,6.797999999999999,1.52186,1.02,1.02525,0.54252,0.4921,0.31105,2015
Panama,Latin America and Caribbean,6.7860000000000005,1.06353,1.1985,0.79661,0.5421,0.0927,0.24434,2015
Germany,Western Europe,6.75,1.32792,1.29937,0.89186,0.6147699999999999,0.21843,0.28214,2015
Chile,Latin America and Caribbean,6.67,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363000000000004,2015
Qatar,Middle East and Northern Africa,6.6110000000000015,1.69042,1.0786,0.79733,0.6404,0.52208,0.32573,2015
France,Western Europe,6.575,1.27778,1.2603799999999998,0.94579,0.55011,0.20646,0.12332,2015
Argentina,Latin America and Caribbean,6.574,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,2015
Czech Republic,Central and Eastern Europe,6.505,1.17898,1.20643,0.84483,0.46364,0.02652,0.10686,2015
Uruguay,Latin America and Caribbean,6.485,1.06166,1.2089,0.8116,0.6036199999999999,0.24558,0.2324,2015
Colombia,Latin America and Caribbean,6.477,0.91861,1.2401799999999998,0.69077,0.53466,0.0512,0.18401,2015
Thailand,Southeastern Asia,6.455,0.9669,1.26504,0.7385,0.5566399999999999,0.03187,0.5763,2015
Saudi Arabia,Middle East and Northern Africa,6.4110000000000005,1.39541,1.0839299999999998,0.72025,0.31048000000000003,0.32524000000000003,0.13706,2015
Spain,Western Europe,6.329,1.23011,1.31379,0.95562,0.45951,0.06398,0.18227,2015
Malta,Western Europe,6.3020000000000005,1.2074,1.30203,0.88721,0.60365,0.13585999999999998,0.51752,2015
Taiwan,Eastern Asia,6.297999999999999,1.29098,1.07617,0.8753,0.3974,0.08129,0.25376,2015
Kuwait,Middle East and Northern Africa,6.295,1.5542200000000002,1.16594,0.72492,0.55499,0.25609,0.16228,2015
Suriname,Latin America and Caribbean,6.269,0.99534,0.972,0.6082,0.5965699999999999,0.13633,0.16990999999999998,2015
Trinidad and Tobago,Latin America and Caribbean,6.167999999999998,1.21183,1.18354,0.61483,0.55884,0.0114,0.31844,2015
El Salvador,Latin America and Caribbean,6.13,0.76454,1.02507,0.67737,0.4035,0.11776,0.10692,2015
