"data_id","age","comprehension","production","language","form","birth_order","ethnicity","sex","zygosity","norming","mom_ed","longitudinal","source_name","license"
30071,30,462,462,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30072,29,527,527,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30073,27,400,400,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30074,24,448,448,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30075,24,315,315,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30076,21,274,274,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30077,20,286,286,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30078,19,287,287,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30079,18,56,56,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30080,16,9,9,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30081,17,68,68,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30082,18,51,51,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30083,21,17,17,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30084,24,448,448,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30085,25,132,132,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30086,26,282,282,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30087,27,219,219,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30088,29,570,570,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30089,30,710,710,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30090,30,409,409,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30091,27,300,300,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30092,28,444,444,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30093,23,108,108,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30094,29,464,464,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30095,17,62,62,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30096,24,86,86,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30097,18,246,246,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30098,26,97,97,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30099,25,450,450,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30100,17,213,213,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30101,19,40,40,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30102,23,456,456,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30103,25,614,614,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30104,17,9,9,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30105,24,345,345,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30106,29,449,449,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30107,18,121,121,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30108,28,344,344,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30109,16,16,16,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30110,19,75,75,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30111,22,60,60,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30112,28,536,536,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30113,30,543,543,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30114,27,349,349,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30115,25,325,325,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30116,18,36,36,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30117,17,91,91,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30118,30,567,567,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30119,28,312,312,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30120,26,329,329,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30121,26,184,184,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30122,21,108,108,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30123,21,50,50,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30124,20,95,95,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30125,26,324,324,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30126,25,391,391,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30127,28,239,239,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30128,18,24,24,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30129,25,335,335,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30130,19,87,87,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30131,24,374,374,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30132,23,172,172,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30133,28,343,343,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30134,29,240,240,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30135,26,379,379,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30136,23,101,101,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30137,21,136,136,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30138,17,47,47,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30139,18,14,14,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30140,30,391,391,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30141,20,26,26,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30142,17,57,57,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30143,28,540,540,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30144,24,91,91,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30145,22,82,82,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30146,30,548,548,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30147,22,181,181,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30148,24,343,343,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30149,26,229,229,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30150,21,23,23,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30151,25,296,296,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30152,22,137,137,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30153,25,235,235,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30154,29,574,574,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30155,16,12,12,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30156,23,41,41,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30157,27,357,357,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30158,28,425,425,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30159,29,390,390,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30160,25,410,410,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30161,20,238,238,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30162,23,73,73,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30163,27,338,338,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30164,30,531,531,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30165,18,98,98,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30166,28,408,408,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30167,19,44,44,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30168,21,212,212,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30169,22,43,43,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30170,23,396,396,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30171,25,547,547,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30172,26,351,351,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30173,28,483,483,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30174,29,420,420,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30175,30,395,395,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30176,17,21,21,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30177,18,25,25,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30178,18,70,70,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30179,20,547,547,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30180,24,121,121,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30181,25,53,53,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30182,26,362,362,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30183,26,591,591,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30184,27,655,655,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30185,30,408,408,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30186,20,185,185,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30187,21,34,34,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30188,23,105,105,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30189,18,24,24,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30190,17,19,19,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30191,29,233,233,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30192,26,348,348,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30193,23,156,156,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30194,20,104,104,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30195,18,196,196,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30196,16,14,14,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30197,19,32,32,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30198,22,166,166,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30199,24,307,307,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30200,24,539,539,"Croatian","WS",NA,NA,"Male",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30201,30,456,456,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
30202,29,145,145,"Croatian","WS",NA,NA,"Female",NA,FALSE,NA,FALSE,"CLEX","CC-BY"
