Country,Region,Happiness Score,Log GDP per Capita,Social Support,Life Expectancy,Freedom,Generosity,Perceptions of Corruption,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
Finland,Western Europe,7.8420000000000005,10.775,0.9540000000000001,72,0.9490000000000001,-0.098,0.18600000000000003,1.446,1.1059999999999999,0.741,0.691,0.124,0.48100000000000004
Denmark,Western Europe,7.62,10.933,0.9540000000000001,72.7,0.946,0.03,0.179,1.5019999999999998,1.1079999999999999,0.763,0.6859999999999999,0.20800000000000002,0.485
Switzerland,Western Europe,7.571000000000001,11.117,0.9420000000000001,74.4,0.919,0.025,0.292,1.5659999999999998,1.079,0.816,0.653,0.204,0.413
Iceland,Western Europe,7.553999999999999,10.878,0.983,73,0.955,0.16,0.6729999999999999,1.482,1.172,0.772,0.698,0.293,0.17
Netherlands,Western Europe,7.4639999999999995,10.932,0.9420000000000001,72.4,0.9129999999999999,0.175,0.33799999999999997,1.501,1.079,0.753,0.647,0.302,0.384
Norway,Western Europe,7.392,11.052999999999999,0.9540000000000001,73.3,0.96,0.09300000000000001,0.27,1.5430000000000001,1.1079999999999999,0.782,0.703,0.249,0.42700000000000005
Sweden,Western Europe,7.3629999999999995,10.867,0.934,72.7,0.945,0.086,0.237,1.4780000000000002,1.062,0.763,0.685,0.244,0.44799999999999995
Luxembourg,Western Europe,7.324,11.647,0.9079999999999999,72.6,0.907,-0.034,0.386,1.751,1.003,0.76,0.639,0.166,0.353
New Zealand,North America and ANZ,7.277,10.642999999999999,0.948,73.4,0.929,0.134,0.242,1.4,1.094,0.785,0.665,0.276,0.445
Austria,Western Europe,7.268,10.905999999999999,0.934,73.3,0.9079999999999999,0.042,0.48100000000000004,1.492,1.062,0.782,0.64,0.215,0.292
Australia,North America and ANZ,7.183,10.796,0.94,73.9,0.914,0.159,0.442,1.453,1.0759999999999998,0.8009999999999999,0.647,0.29100000000000004,0.317
Israel,Middle East and North Africa,7.157,10.575,0.9390000000000001,73.503,0.8,0.031,0.753,1.376,1.074,0.7879999999999999,0.509,0.20800000000000002,0.11900000000000001
Germany,Western Europe,7.155,10.873,0.903,72.5,0.875,0.011000000000000001,0.46,1.48,0.993,0.757,0.6,0.195,0.306
Canada,North America and ANZ,7.103,10.776,0.9259999999999999,73.8,0.915,0.08900000000000001,0.415,1.4469999999999998,1.044,0.7979999999999999,0.648,0.24600000000000002,0.335
Ireland,Western Europe,7.085,11.342,0.9470000000000001,72.4,0.879,0.077,0.363,1.6440000000000001,1.092,0.753,0.606,0.23800000000000002,0.36700000000000005
Costa Rica,Latin America and Caribbean,7.069,9.88,0.8909999999999999,71.4,0.934,-0.126,0.809,1.1340000000000001,0.966,0.722,0.6729999999999999,0.105,0.083
United Kingdom,Western Europe,7.064,10.707,0.934,72.5,0.8590000000000001,0.233,0.45899999999999996,1.423,1.062,0.757,0.58,0.34,0.306
Czech Republic,Central and Eastern Europe,6.965,10.556,0.9470000000000001,70.807,0.858,-0.20800000000000002,0.868,1.37,1.09,0.703,0.58,0.052000000000000005,0.046
United States,North America and ANZ,6.9510000000000005,11.023,0.92,68.2,0.8370000000000001,0.098,0.698,1.5330000000000001,1.03,0.621,0.5539999999999999,0.252,0.154
Belgium,Western Europe,6.834,10.823,0.9059999999999999,72.199,0.7829999999999999,-0.153,0.6459999999999999,1.463,0.998,0.747,0.489,0.08800000000000001,0.187
France,Western Europe,6.69,10.704,0.9420000000000001,74,0.8220000000000001,-0.147,0.5710000000000001,1.421,1.081,0.804,0.536,0.092,0.235
Bahrain,Middle East and North Africa,6.647,10.669,0.862,69.495,0.925,0.08900000000000001,0.722,1.409,0.899,0.662,0.6609999999999999,0.24600000000000002,0.139
Malta,Western Europe,6.602,10.674000000000001,0.9309999999999999,72.2,0.927,0.133,0.653,1.411,1.055,0.747,0.664,0.275,0.183
Taiwan,East Asia,6.584,10.870999999999999,0.898,69.6,0.784,-0.07,0.721,1.48,0.982,0.665,0.49,0.142,0.139
United Arab Emirates,Middle East and North Africa,6.561,11.085,0.8440000000000001,67.333,0.932,0.07400000000000001,0.589,1.555,0.86,0.594,0.67,0.23600000000000002,0.223
Saudi Arabia,Middle East and North Africa,6.494,10.743,0.8909999999999999,66.60300000000001,0.877,-0.149,0.684,1.435,0.9640000000000001,0.5710000000000001,0.603,0.09,0.163
Spain,Western Europe,6.4910000000000005,10.571,0.932,74.7,0.7609999999999999,-0.081,0.745,1.375,1.057,0.826,0.462,0.135,0.124
Italy,Western Europe,6.483,10.623,0.88,73.8,0.693,-0.084,0.866,1.393,0.94,0.7979999999999999,0.379,0.133,0.047
Slovenia,Central and Eastern Europe,6.461,10.529000000000002,0.948,71.4,0.9490000000000001,-0.10099999999999999,0.8059999999999999,1.36,1.093,0.722,0.69,0.122,0.085
Guatemala,Latin America and Caribbean,6.435,9.052999999999999,0.813,64.958,0.9059999999999999,-0.038,0.775,0.845,0.79,0.519,0.638,0.163,0.105
Uruguay,Latin America and Caribbean,6.431,9.966000000000001,0.925,69.1,0.8959999999999999,-0.092,0.59,1.1640000000000001,1.042,0.649,0.625,0.128,0.223
Singapore,Southeast Asia,6.377000000000001,11.488,0.915,76.953,0.927,-0.018000000000000002,0.08199999999999999,1.695,1.0190000000000001,0.897,0.664,0.17600000000000002,0.547
Kosovo,Central and Eastern Europe,6.372000000000001,9.318,0.821,63.813,0.8690000000000001,0.257,0.917,0.937,0.807,0.483,0.593,0.35600000000000004,0.013999999999999999
Slovakia,Central and Eastern Europe,6.331,10.369000000000002,0.9359999999999999,69.20100000000001,0.7659999999999999,-0.124,0.9109999999999999,1.304,1.0659999999999998,0.653,0.46799999999999997,0.107,0.018000000000000002
Brazil,Latin America and Caribbean,6.33,9.577,0.882,66.601,0.804,-0.071,0.7559999999999999,1.028,0.9440000000000001,0.5710000000000001,0.514,0.142,0.11699999999999999
Mexico,Latin America and Caribbean,6.317,9.859,0.831,68.597,0.862,-0.147,0.799,1.126,0.83,0.634,0.585,0.092,0.08900000000000001
