"data_id","age","comprehension","production","language","form","birth_order","ethnicity","sex","zygosity","norming","mom_ed","longitudinal","source_name","license","is_first"
129242,27,497,497,"English (American)","WS","Fourth","Hispanic","Female",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129243,21,369,369,"English (American)","WS","Second","White","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129244,26,190,190,"English (American)","WS","Fourth","White","Female",NA,TRUE,"College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129245,27,264,264,"English (American)","WS","Second","White","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129246,19,159,159,"English (American)","WS","Second","Other","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129247,30,513,513,"English (American)","WS","Second","Other","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129248,25,444,444,"English (American)","WS","Second","Other","Male",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129249,24,582,582,"English (American)","WS","Second","White","Male",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129250,28,558,558,"English (American)","WS","Second","Black","Female",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129251,18,7,7,"English (American)","WS","Fourth","Other","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129252,29,526,526,"English (American)","WS","Second","Other","Female",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129253,26,190,190,"English (American)","WS","Fifth","Other","Female",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129254,18,32,32,"English (American)","WS","Fourth","Other","Male",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129255,24,126,126,"English (American)","WS","Second","Hispanic","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129256,28,199,199,"English (American)","WS","Second","Other","Male",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129257,24,330,330,"English (American)","WS","Second","Other","Male",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129258,26,181,181,"English (American)","WS","Second","Other","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129259,16,16,16,"English (American)","WS","Third","Hispanic","Male",NA,TRUE,"Primary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129260,17,166,166,"English (American)","WS","Sixth","White","Male",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129261,30,643,643,"English (American)","WS","Third","Other","Male",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129262,19,143,143,"English (American)","WS","Second","Black","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129263,28,644,644,"English (American)","WS","Second","White","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129264,26,379,379,"English (American)","WS","Second","Other","Male",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129265,29,462,462,"English (American)","WS","Second","Other","Male",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129266,22,208,208,"English (American)","WS","Third","Black","Female",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129267,23,251,251,"English (American)","WS","Second","Hispanic","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129268,29,569,569,"English (American)","WS","Second","White","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129269,24,514,514,"English (American)","WS","First","Other","Male",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",TRUE
129270,25,672,672,"English (American)","WS","Third","Other","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129271,17,60,60,"English (American)","WS","Third","White","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129272,24,292,292,"English (American)","WS","Third","Other","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129273,25,234,234,"English (American)","WS","Second","White","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129274,24,181,181,"English (American)","WS","Fourth","Other","Male",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129275,25,65,65,"English (American)","WS","Second","Other","Male",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129276,16,57,57,"English (American)","WS","Fifth","Other","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129277,19,22,22,"English (American)","WS","Second","Asian","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129278,18,4,4,"English (American)","WS","Eighth","Black","Male",NA,TRUE,"College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129279,17,8,8,"English (American)","WS","Third","White","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129280,18,47,47,"English (American)","WS","Third","Hispanic","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129281,19,27,27,"English (American)","WS","Fourth","Black","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129282,23,397,397,"English (American)","WS","Fourth","Other","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129283,16,25,25,"English (American)","WS","Second","Black","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129284,23,117,117,"English (American)","WS","Second","Hispanic","Female",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129285,20,97,97,"English (American)","WS","Second","Other","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129286,28,215,215,"English (American)","WS","Second","Hispanic","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129287,22,323,323,"English (American)","WS","Sixth","Black","Male",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129288,30,316,316,"English (American)","WS","Second","Other","Male",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129289,25,141,141,"English (American)","WS","Second","Hispanic","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129290,23,237,237,"English (American)","WS","Fourth","Other","Male",NA,TRUE,"College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129291,21,206,206,"English (American)","WS","Third","Black","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129292,23,91,91,"English (American)","WS","Fourth","Other","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129293,24,266,266,"English (American)","WS","Third","Hispanic","Female",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129294,23,66,66,"English (American)","WS","Second","Hispanic","Female",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129295,19,72,72,"English (American)","WS","Second","Hispanic","Female",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129296,27,183,183,"English (American)","WS","Second","Other","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129297,28,212,212,"English (American)","WS","Second","Hispanic","Male",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129298,28,226,226,"English (American)","WS","Second","Hispanic","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129299,27,289,289,"English (American)","WS","Second","Black","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129300,17,39,39,"English (American)","WS","Fifth","Hispanic","Female",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129301,27,65,65,"English (American)","WS","Fourth","Hispanic","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129302,28,301,301,"English (American)","WS","Fourth","Hispanic","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129303,18,45,45,"English (American)","WS","Second","Hispanic","Male",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129304,30,530,530,"English (American)","WS","Third","Black","Male",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129305,29,603,603,"English (American)","WS","Second","Black","Male",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129306,29,201,201,"English (American)","WS","Third","Hispanic","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129307,23,25,25,"English (American)","WS","Third","Other","Female",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129308,18,11,11,"English (American)","WS","Second","Hispanic","Male",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129309,24,219,219,"English (American)","WS","Seventh","Other","Female",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",FALSE
