,Country,Region,Happiness Score,Log GDP per Capita,Social Support,Life Expectancy,Freedom,Generosity,Perceptions of Corruption,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,year
0,Finland,Western Europe,7.808700085,10.63926697,0.954329729,71.9008255,0.949172199,-0.059482019000000004,0.19544458399999998,1.285189509,1.499525905,0.961271405,0.66231674,0.159670442,0.477857262,2020
1,Denmark,Western Europe,7.645599842,10.77400112,0.955990791,72.40250397,0.9514442679999999,0.06620177599999999,0.168489456,1.326948524,1.5034492019999999,0.979332566,0.665039897,0.24279339600000002,0.49526032799999997,2020
2,Switzerland,Western Europe,7.559899807000001,10.97993279,0.942846596,74.10244751,0.921336651,0.105911039,0.303728431,1.39077425,1.4724034069999998,1.040533185,0.62895447,0.269055754,0.407945901,2020
3,Iceland,Western Europe,7.504499912000001,10.77255917,0.9746695759999999,73,0.948891878,0.246944219,0.7117097379999999,1.326501608,1.5475674869999998,1.000843406,0.661980748,0.362330228,0.14454077199999998,2020
4,Norway,Western Europe,7.4879999160000015,11.08780384,0.952486575,73.20078278,0.955750287,0.13453263,0.26321819399999996,1.42420733,1.4951725009999999,1.0080718990000002,0.670200884,0.287985086,0.43410056799999996,2020
5,Netherlands,Western Europe,7.448900223,10.81271172,0.93913883,72.30091858,0.908547819,0.20761244,0.364717126,1.338946342,1.463645935,0.9756753440000001,0.61362648,0.336317569,0.368569762,2020
6,Sweden,Western Europe,7.353499889,10.75879383,0.926311195,72.60076904,0.939144194,0.111614622,0.250880182,1.322235227,1.4333477019999998,0.9864704609999999,0.6502977010000001,0.272827893,0.442066371,2020
7,New Zealand,North America and ANZ,7.299600123999999,10.50094318,0.9491189720000001,73.20262909,0.9362174870000001,0.191598073,0.22113885,1.242317915,1.48721838,1.008138299,0.646789908,0.325726211,0.46126827600000003,2020
8,Austria,Western Europe,7.294199944,10.7428236,0.9280458690000001,73.00250244,0.899989486,0.085429221,0.49995487899999996,1.317285538,1.437444925,1.000933528,0.6033688779999999,0.255509764,0.28125613899999996,2020
9,Luxembourg,Western Europe,7.2375001910000005,11.45068073,0.9069122079999999,72.59999847,0.90563643,-0.004620588,0.367084295,1.536676049,1.3875284190000001,0.986442685,0.610137045,0.19595392,0.367041469,2020
10,Canada,North America and ANZ,7.23210001,10.69236851,0.927176654,73.60160065,0.9339132309999999,0.124770768,0.390843362,1.301647663,1.4353919030000002,1.022501945,0.644028127,0.28152892,0.35170185600000003,2020
11,Australia,North America and ANZ,7.222799778,10.72059631,0.9448546170000001,73.60453796,0.915431738,0.19046016,0.41516912,1.310396433,1.477146268,1.022607684,0.621877193,0.324973613,0.335996419,2020
12,United Kingdom,Western Europe,7.164500237,10.60013485,0.93668282,72.30160522,0.834743679,0.263732493,0.43591591700000004,1.273061037,1.457844973,0.97570008,0.525168657,0.37343344100000003,0.322601646,2020
13,Israel,Middle East and North Africa,7.128600121,10.41752529,0.913571239,73.20025635,0.7475805879999999,0.10259372,0.78085506,1.216463685,1.4032567740000002,1.008052945,0.42069947700000004,0.26686179600000004,0.09989845,2020
14,Costa Rica,Latin America and Caribbean,7.121399879,9.658156395,0.901545942,71.29985046,0.9347389340000001,-0.10242971,0.7863324279999999,0.981107712,1.374853611,0.9396353359999999,0.6450177429999999,0.131266311,0.096362092,2020
15,Ireland,Western Europe,7.093699932000001,11.16097832,0.9420815709999999,72.30078888,0.8869829770000001,0.145784974,0.357184172,1.446886778,1.470596433,0.975670695,0.587779939,0.295426995,0.37343326200000004,2020
16,Germany,Western Europe,7.075799942000001,10.7328186,0.898874462,72.20201874,0.867371082,0.08017938599999999,0.456422031,1.314184546,1.3685437440000001,0.9721148009999999,0.564274132,0.252037704,0.309362292,2020
17,United States,North America and ANZ,6.9395999910000015,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.6997153159999999,1.37398684,1.4047867059999999,0.831618011,0.534608245,0.298143059,0.152284741,2020
18,Czech Republic,Central and Eastern Europe,6.9109001160000005,10.40416336,0.914430678,70.04793549,0.818537354,-0.230861515,0.85844624,1.212322354,1.40528667,0.89456445,0.505744576,0.046325929,0.049803223,2020
19,Belgium,Western Europe,6.863500117999999,10.673639300000001,0.911632538,72.00164795,0.813582063,-0.078691199,0.612297952,1.2958427670000001,1.3986775880000002,0.964901149,0.499805421,0.146966159,0.208724052,2020
20,United Arab Emirates,Middle East and North Africa,6.790800095,11.1099987,0.8491811159999999,67.08278656,0.941345513,0.123450845,0.594502211,1.4310864209999998,1.251170993,0.787814438,0.652936101,0.28065598,0.220213518,2020
21,Malta,Western Europe,6.772799968999999,10.53383827,0.93037951,72.19999695,0.9249114390000001,0.214965805,0.658547282,1.2525132890000001,1.442956924,0.9720420240000001,0.633239031,0.341180831,0.17886407699999998,2020
22,France,Western Europe,6.663799762999999,10.58422279,0.937103748,73.80193329,0.8254676459999999,-0.130641967,0.583521128,1.268129349,1.458839178,1.029714227,0.5140509010000001,0.112607703,0.227303237,2020
23,Mexico,Latin America and Caribbean,6.465000152999999,9.797797203,0.8386654259999999,68.29902649,0.8587092759999999,-0.175266623,0.806821585,1.024387479,1.226333499,0.831601024,0.553892553,0.083094485,0.083133668,2020
24,Taiwan,East Asia,6.45539999,10.77568531,0.894309103,69.59999847,0.77153033,-0.07319869799999999,0.73188293,1.3274705409999998,1.357760668,0.8784379959999999,0.44940438899999996,0.150598705,0.131516352,2020
25,Uruguay,Latin America and Caribbean,6.440100192999999,9.948192596,0.92281127,69.00254822,0.892395437,-0.101103112,0.635994136,1.071000457,1.425081134,0.856928885,0.59426707,0.132143691,0.19342507399999997,2020
